GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Example Search,com.example.search.service.dto,PasswordChangeDTO,26,0,0,0,12,0,6,0,6,0
Example Search,com.example.search.service.dto,UserDTO,242,0,0,0,60,0,29,0,29,0
Example Search,com.example.search.web.rest,AccountResource,270,0,22,0,61,0,30,0,19,0
Example Search,com.example.search.web.rest,SpeakerResource,187,0,4,0,36,0,9,0,7,0
Example Search,com.example.search.web.rest,ClientForwardController,5,0,0,0,2,0,2,0,2,0
Example Search,com.example.search.web.rest,UserResource,239,0,14,0,43,0,15,0,8,0
Example Search,com.example.search.web.rest,AuditResource,56,0,0,0,12,0,4,0,4,0
Example Search,com.example.search.web.rest,PhoneResource,214,0,4,0,39,0,9,0,7,0
Example Search,com.example.search.web.rest,AccountResource.AccountResourceException,4,0,0,0,2,0,1,0,1,0
Example Search,com.example.search.config.audit,AuditEventConverter,124,0,16,0,29,0,13,0,5,0
Example Search,com.example.search.web.rest.errors,LoginAlreadyUsedException,7,0,0,0,2,0,1,0,1,0
Example Search,com.example.search.web.rest.errors,EmailNotFoundException,6,0,0,0,2,0,1,0,1,0
Example Search,com.example.search.web.rest.errors,EmailAlreadyUsedException,7,0,0,0,2,0,1,0,1,0
Example Search,com.example.search.web.rest.errors,ErrorConstants,22,0,0,0,7,0,1,0,1,0
Example Search,com.example.search.web.rest.errors,InvalidPasswordException,6,0,0,0,2,0,1,0,1,0
Example Search,com.example.search.web.rest.errors,BadRequestAlertException,54,0,0,0,12,0,5,0,5,0
Example Search,com.example.search.web.rest.errors,ExceptionTranslator,197,0,14,0,46,0,14,0,7,0
Example Search,com.example.search.web.rest.errors,FieldErrorVM,21,0,0,0,8,0,4,0,4,0
Example Search,com.example.search.web.rest.vm,ManagedUserVM,22,0,0,0,6,0,4,0,4,0
Example Search,com.example.search.web.rest.vm,KeyAndPasswordVM,17,0,0,0,7,0,5,0,5,0
Example Search,com.example.search.service,MailService,183,0,2,0,40,0,7,0,6,0
Example Search,com.example.search.service,UserService,618,0,12,0,161,0,36,0,30,0
Example Search,com.example.search.service,AuditEventService,52,0,0,0,12,0,4,0,4,0
Example Search,com.example.search.service.mapper,UserMapper,118,0,6,0,37,0,11,0,8,0
